"island","site","web","native","netting","startdate","enddate","spidpres","webpres","websize","websize_c","duration","webarea"
"saipan","ladt","G'W","no","no",2013-07-30,2013-07-31,"no","yes",43,-0.806499144731093,1,0.145220120412188
"guam","nbla","A'H","yes","no",2013-06-24,2013-06-26,"no","no",43,-0.806499144731093,2,0.145220120412188
"saipan","ladt","G'Y","no","no",2013-07-30,2013-07-31,"no","yes",44,-0.713833207647091,1,0.152053084433746
"saipan","ladt","H'X","no","yes",2013-07-30,2013-08-03,"no","yes",44,-0.713833207647091,4,0.152053084433746
"saipan","forb","H'R","no","yes",2013-08-01,2013-08-04,"no","yes",45,-0.621167270563089,3,0.159043128087983
"saipan","ladt","H'D","no","no",2013-07-30,2013-08-02,"no","yes",46,-0.528501333479087,3,0.1661902513749
"saipan","forb","H'T","no","yes",2013-08-01,2013-08-06,"no","no",46,-0.528501333479087,5,0.1661902513749
"saipan","ladt","I'D","no","yes",2013-08-01,2013-08-05,"no","yes",46,-0.528501333479087,4,0.1661902513749
"saipan","forb","H'O","no","no",2013-08-01,2013-08-04,"no","yes",47,-0.435835396395085,3,0.173494454294496
"guam","anao","I'Y","no","yes",2013-08-07,2013-08-11,"no","no",47,-0.435835396395085,4,0.173494454294496
"guam","nbla","Z'","yes","no",2013-06-24,2013-07-01,"yes","yes",47,-0.435835396395085,7,0.173494454294496
"guam","nbla","A'B","yes","no",2013-06-24,2013-06-29,"yes","yes",47,-0.435835396395085,5,0.173494454294496
"saipan","ladt","H'F","no","no",2013-08-01,2013-08-02,"no","yes",48,-0.343169459311084,1,0.180955736846772
"saipan","ladt","H'Y","no","yes",2013-07-30,2013-08-06,"no","no",48,-0.343169459311084,7,0.180955736846772
"saipan","ladt","I'E","no","yes",2013-08-01,2013-08-06,"no","no",48,-0.343169459311084,5,0.180955736846772
"saipan","ladt","I'I","yes","no",2013-08-03,2013-08-04,"no","yes",48,-0.343169459311084,1,0.180955736846772
"guam","anao","I'W","no","yes",2013-08-07,2013-08-12,"no","no",48,-0.343169459311084,5,0.180955736846772
"guam","anao","I'Z","no","yes",2013-08-07,2013-08-14,"yes","no",48,-0.343169459311084,7,0.180955736846772
"guam","nbla","J'N","no","yes",2013-08-07,2013-08-12,"no","no",48,-0.343169459311084,5,0.180955736846772
"saipan","ladt","H'J","no","no",2013-08-01,2013-08-04,"no","yes",49,-0.250503522227082,3,0.188574099031727
"saipan","forb","H'S","no","yes",2013-08-01,2013-08-05,"no","no",49,-0.250503522227082,4,0.188574099031727
"saipan","ladt","I'A","no","yes",2013-07-30,2013-08-07,"yes","yes",49,-0.250503522227082,8,0.188574099031727
"guam","anao","I'X","no","yes",2013-08-07,2013-08-10,"no","yes",49,-0.250503522227082,3,0.188574099031727
"saipan","ladt","G'V","yes","no",2013-07-23,2013-07-24,"no","yes",50,-0.15783758514308,1,0.196349540849362
"saipan","forb","G'T","yes","no",2013-07-27,2013-07-31,"no","no",51,-0.065171648059078,4,0.204282062299676
"saipan","ladt","H'G","no","no",2013-08-01,2013-08-02,"no","yes",51,-0.065171648059078,1,0.204282062299676
